car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
AM16,BLK 256A ANG MO KIO STREET 21,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370349765,103.8357162,,,,,
AM18,BLK 308C ANG MO KIO AVENUE 1,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.365540028,103.8446198,,,,,
AM19,BLK 260 ANG MO KIO STREET 21,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368886232,103.8345337,,,,,
AM20,BLK 309B ANG MO KIO STREET 31,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.364697695,103.8460922,,,,,
AM22,BLK 316B ANG MO KIO STREET 31,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.364588261,103.8476563,,,,,
AM32,BLK 255A ANG MO KIO STREET 21,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370532513,103.8343735,,,,,
AM43,BLK 455 ANG MO KIO STREET 44,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.36861074,103.8572998,,,,,
AM46,BLK 588 ANG MO KIO STREET 52,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372178316,103.8533936,,,,,
AM51,BLK 700 ANG MO KIO AVENUE 6,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.369915009,103.8466949,,,,,
AM64,BLK 590 ANG MO KIO STREET 51,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.371456981,103.853096,,,,,
AM79,BLK 596 ANG MO KIO STREET 52,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372328281,103.851326,,,,,
AM80,BLK 130A ANG MO KIO STREET 12,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370646954,103.8418579,,,,,
AM81,BLK 132A ANG MO KIO STREET 12,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.371639252,103.8419495,,,,,
AM96,BLK 352A ANG MO KIO STREET 32,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.364074111,103.8509369,,,,,
AR1L,3 AND 5 DOVER ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.303876758,103.7826309,,,,,
AR1M,BLK 2A DOVER ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.302848697,103.7836685,,,,,
AR2L,BLK 26 AND 27 DOVER CRESCENT,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.30591321,103.7811584,,,,,
AR2M,BLK 28 DOVER CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.304738879,103.7816772,,,,,
AR5M,BLK 19A DOVER CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.307343483,103.784462,,,,,
